,year,country,Christianity,Judaism,Islam,Buddhism,Hindu,Shinto,Confus_Tao,code,gdp,un_region,hdi,conflict_present
9,1990,United States,214425162,5508504,2294757,1575481,323352,59724,106818,USA,5963144000000.0,Northern America,0.875,0.0
10,1995,United States,215593975,5259463,2425377,1608346,574269,57972,62455,USA,7639749000000.0,Northern America,0.0,0.0
11,2000,United States,219818305,5010424,2555997,2449569,825186,56220,18093,USA,10250947997000.0,Northern America,0.894,0.0
12,2005,United States,226464805,5536622,2685374,3682694,1311442,60560,90593,USA,13039199193000.0,Northern America,0.0,0.0
13,2010,United States,233111307,5942248,2814750,3410236,1797698,156375,95752,USA,15048964444000.0,Northern America,0.916,0.0
23,1990,Canada,24346000,350000,250000,500000,155000,0,280000,CAN,596075591360.987,Northern America,0.861,0.0
24,1995,Canada,24958842,361880,125000,250000,170941,272,141722,CAN,605961090061.207,Northern America,0.0,0.0
25,2000,Canada,25571687,373762,280323,360000,186882,545,3445,CAN,744773415931.587,Northern America,0.89,0.0
26,2005,Canada,26057640,341229,646000,605000,193800,565,3572,CAN,1173108598778.68,Northern America,0.0,0.0
27,2010,Canada,26431104,340304,670000,670000,275000,915,6940,CAN,1617343367486.26,Northern America,0.911,0.0
31,1990,Bahamas,209670,400,0,0,0,0,0,BHS,3166000000.0,Latin America and the Caribbean,0.76,0.0
32,1995,Bahamas,253645,0,0,0,0,0,0,BHS,3429000000.0,Latin America and the Caribbean,0.0,0.0
33,2000,Bahamas,297045,300,0,0,0,0,92,BHS,8076470000.0,Latin America and the Caribbean,0.788,0.0
34,2005,Bahamas,313950,317,0,0,0,0,97,BHS,9836200000.0,Latin America and the Caribbean,0.0,0.0
35,2010,Bahamas,302657,305,0,0,0,0,93,BHS,10095760000.0,Latin America and the Caribbean,0.8,0.0
54,1990,Cuba,7680210,1000,8000,6000,21000,0,20000,CUB,28645436569.1489,Latin America and the Caribbean,0.684,0.0
56,1995,Cuba,8524160,1020,8160,6120,21420,0,20400,CUB,30429803651.2192,Latin America and the Caribbean,0.0,0.0
58,2000,Cuba,8100650,500,8500,0,0,0,0,CUB,30565400000.0,Latin America and the Caribbean,0.694,0.0
60,2005,Cuba,7520095,1200,7200,0,11000,0,21501,CUB,42643836100.0,Latin America and the Caribbean,0.0,0.0
62,2010,Cuba,7407107,1500,8000,0,25000,0,0,CUB,59562962962.963,Latin America and the Caribbean,0.779,0.0
82,1990,Haiti,5934500,160,1660,0,0,0,180,HTI,3096289800.0,Latin America and the Caribbean,0.441,0.0
84,1995,Haiti,6621510,129,830,0,0,0,90,HTI,2813313278.81082,Latin America and the Caribbean,0.0,0.0
86,2000,Haiti,7377600,98,0,0,0,0,0,HTI,6813566098.8675,Latin America and the Caribbean,0.485,0.0
88,2005,Haiti,7998500,500,2000,0,0,0,0,HTI,7030149730.33692,Latin America and the Caribbean,0.0,0.0
90,2010,Haiti,8003882,120,1750,0,0,0,0,HTI,11859312725.1448,Latin America and the Caribbean,0.449,0.0
110,1990,Dominican Republic,6044752,0,1600,1470,0,0,5000,DOM,7073675544.79021,Latin America and the Caribbean,0.579,0.0
112,1995,Dominican Republic,6098300,0,0,0,0,0,0,DOM,16637370839.1608,Latin America and the Caribbean,0.0,0.0
114,2000,Dominican Republic,6526613,100,1873,1533,0,0,6580,DOM,24305780628.6677,Latin America and the Caribbean,0.646,0.0
116,2005,Dominican Republic,7484946,100,2083,1705,0,0,7315,DOM,35777560683.9366,Latin America and the Caribbean,0.0,0.0
118,2010,Dominican Republic,8662283,100,0,0,0,0,0,DOM,53801053352.5005,Latin America and the Caribbean,0.707,0.0
126,1990,Jamaica,1701798,600,3000,300,27100,0,6200,JAM,4592208086.69235,Latin America and the Caribbean,0.664,0.0
127,1995,Jamaica,1754579,555,3078,308,28916,0,6636,JAM,6577520642.82297,Latin America and the Caribbean,0.0,0.0
128,2000,Jamaica,1807362,511,3156,316,30733,0,7073,JAM,9005064474.93003,Latin America and the Caribbean,0.657,0.0
129,2005,Jamaica,1890680,521,2334,319,23347,0,3536,JAM,11243865777.7131,Latin America and the Caribbean,0.0,0.0
130,2010,Jamaica,1974000,531,1513,322,15961,0,0,JAM,13220549908.2494,Latin America and the Caribbean,0.711,0.0
137,1990,Trinidad And Tobago,760400,600,80190,3900,315900,0,5000,TTO,5068000000.0,Latin America and the Caribbean,0.656,1.0
138,1995,Trinidad And Tobago,776469,602,82830,3966,323710,0,5039,TTO,5329217747.21258,Latin America and the Caribbean,0.0,0.0
139,2000,Trinidad And Tobago,792540,605,85470,4032,331520,0,5078,TTO,8154342116.10311,Latin America and the Caribbean,0.708,0.0
140,2005,Trinidad And Tobago,754060,611,75085,4118,283514,0,2539,TTO,15982389018.4041,Latin America and the Caribbean,0.0,0.0
141,2010,Trinidad And Tobago,729270,0,65700,0,240100,0,0,TTO,22157920592.3669,Latin America and the Caribbean,0.785,0.0
146,1990,Barbados,177173,30,1079,100,800,0,0,BRB,2012131457.26644,Latin America and the Caribbean,0.728,0.0
147,1995,Barbados,183005,31,1885,104,859,0,0,BRB,2216974096.35559,Latin America and the Caribbean,0.0,0.0
148,2000,Barbados,188838,32,1782,108,918,0,0,BRB,3059500000.0,Latin America and the Caribbean,0.76,0.0
149,2005,Barbados,187296,31,2041,114,1059,0,0,BRB,3819500000.0,Latin America and the Caribbean,0.0,0.0
150,2010,Barbados,185756,30,2300,120,1200,0,0,BRB,5672900000.0,Latin America and the Caribbean,0.792,0.0
153,1990,Dominica,69480,0,0,90,140,0,0,DMA,201429629.62963,Latin America and the Caribbean,0.721,0.0
154,1995,Dominica,69050,0,69,46,140,0,0,DMA,274522222.222222,Latin America and the Caribbean,0.0,0.0
155,2000,Dominica,60965,0,139,92,141,0,0,DMA,333470370.37037,Latin America and the Caribbean,0.721,0.0
156,2005,Dominica,64061,0,0,88,68,0,0,DMA,391455555.555556,Latin America and the Caribbean,0.0,0.0
157,2010,Dominica,67160,0,0,0,0,0,0,DMA,519859259.259259,Latin America and the Caribbean,0.735,0.0
161,1990,Grenada,75257,0,0,0,0,0,0,GRD,278098762.962963,Latin America and the Caribbean,0.779,0.0
162,1995,Grenada,77438,0,152,0,318,0,0,GRD,342172518.518519,Latin America and the Caribbean,0.0,0.0
163,2000,Grenada,76726,0,167,0,123,0,0,GRD,520044370.37037,Latin America and the Caribbean,0.779,0.0
164,2005,Grenada,96820,0,500,0,250,0,0,GRD,695555555.555555,Latin America and the Caribbean,0.0,0.0
165,2010,Grenada,94323,0,526,0,263,0,0,GRD,771014814.814815,Latin America and the Caribbean,0.779,0.0
168,1990,Saint Lucia,131057,0,0,0,1200,0,0,LCA,579629629.62963,Latin America and the Caribbean,0.666,0.0
169,1995,Saint Lucia,135978,0,352,0,1293,0,0,LCA,762962962.962963,Latin America and the Caribbean,0.0,0.0
170,2000,Saint Lucia,141130,0,705,0,1386,0,0,LCA,932592592.592592,Latin America and the Caribbean,0.692,0.0
171,2005,Saint Lucia,146156,0,434,0,939,0,0,LCA,1135555555.55556,Latin America and the Caribbean,0.0,0.0
172,2010,Saint Lucia,151183,0,164,0,492,0,0,LCA,1482385185.18519,Latin America and the Caribbean,0.731,0.0
175,1990,Saint Vincent And The Grenadines,91423,0,1500,0,3450,0,0,VCT,240366666.666667,Latin America and the Caribbean,0.691,0.0
176,1995,Saint Vincent And The Grenadines,96441,0,750,0,3640,0,0,VCT,316007407.407407,Latin America and the Caribbean,0.0,0.0
177,2000,Saint Vincent And The Grenadines,98157,0,798,0,912,0,0,VCT,427946037.037037,Latin America and the Caribbean,0.691,0.0
178,2005,Saint Vincent And The Grenadines,95826,0,451,0,612,0,0,VCT,579948925.925926,Latin America and the Caribbean,0.0,0.0
179,2010,Saint Vincent And The Grenadines,93496,0,104,0,312,0,0,VCT,720447888.888889,Latin America and the Caribbean,0.756,0.0
182,1990,Antigua And Barbuda,47650,0,300,0,50,0,0,ATG,478718518.518519,Latin America and the Caribbean,0.808,0.0
183,1995,Antigua And Barbuda,52032,0,287,0,52,0,0,ATG,616051851.851852,Latin America and the Caribbean,0.0,0.0
184,2000,Antigua And Barbuda,56415,0,274,0,54,0,0,ATG,901003703.703704,Latin America and the Caribbean,0.808,0.0
185,2005,Antigua And Barbuda,67920,0,137,0,27,0,0,ATG,1143896296.2963,Latin America and the Caribbean,0.0,0.0
186,2010,Antigua And Barbuda,79425,0,0,0,0,0,0,ATG,1298348148.14815,Latin America and the Caribbean,0.808,0.0
188,1990,Saint Kitts And Nevis,35517,0,0,0,162,0,0,KNA,217259259.259259,Latin America and the Caribbean,0.79,0.0
189,1995,Saint Kitts And Nevis,36837,0,64,0,266,0,0,KNA,313485185.185185,Latin America and the Caribbean,0.0,0.0
190,2000,Saint Kitts And Nevis,38155,0,129,0,370,0,0,KNA,421695769.843918,Latin America and the Caribbean,0.79,0.0
191,2005,Saint Kitts And Nevis,41839,0,135,0,426,0,0,KNA,547203703.703704,Latin America and the Caribbean,0.0,0.0
192,2010,Saint Kitts And Nevis,45525,0,141,0,481,0,0,KNA,778718518.518518,Latin America and the Caribbean,0.79,0.0
202,1990,Mexico,80606800,105000,0,0,5400,0,0,MEX,261253675692.838,Latin America and the Caribbean,0.666,0.0
203,1995,Mexico,87909596,61000,128584,11470,5705,0,5043,MEX,380157469866.849,Latin America and the Caribbean,0.0,0.0
204,2000,Mexico,95812392,122001,257168,22940,6010,0,10086,MEX,742061329749.127,Latin America and the Caribbean,0.709,0.0
205,2005,Mexico,97293942,128646,206112,24190,9465,0,10635,MEX,917571853529.104,Latin America and the Caribbean,0.0,0.0
206,2010,Mexico,108811290,67476,3760,0,0,0,0,MEX,1105424238731.09,Latin America and the Caribbean,0.747,0.0
209,1990,Belize,163920,2100,1000,600,4000,0,0,BLZ,546750912.28848,Latin America and the Caribbean,0.609,0.0
210,1995,Belize,186321,1300,1194,721,4768,0,0,BLZ,818590250.0,Latin America and the Caribbean,0.0,0.0
211,2000,Belize,192222,0,243,0,367,0,0,BLZ,1138138100.0,Latin America and the Caribbean,0.657,0.0
212,2005,Belize,208096,0,410,378,489,0,0,BLZ,1474298400.0,Latin America and the Caribbean,0.0,0.0
213,2010,Belize,223972,0,577,757,612,0,0,BLZ,1748988400.0,Latin America and the Caribbean,0.72,0.0
223,1990,Guatemala,8511300,950,800,1600,0,0,3100,GTM,7650196845.21546,Latin America and the Caribbean,0.49,1.0
224,1995,Guatemala,9576225,644,655,1390,0,0,0,GTM,14655404433.2771,Latin America and the Caribbean,0.0,1.0
225,2000,Guatemala,11045250,1014,911,1981,0,0,3684,GTM,19288929030.0508,Latin America and the Caribbean,0.551,0.0
226,2005,Guatemala,12065950,1000,1100,2000,0,0,4000,GTM,26783389293.922,Latin America and the Caribbean,0.0,0.0
227,2010,Guatemala,13133239,2000,2000,0,0,0,0,GTM,40676578423.4871,Latin America and the Caribbean,0.613,0.0
237,1990,Honduras,4919650,290,6000,2500,0,0,400,HND,3734460116.73152,Latin America and the Caribbean,0.513,0.0
238,1995,Honduras,5624825,145,3000,1250,0,0,200,HND,4672346193.95203,Latin America and the Caribbean,0.0,0.0
239,2000,Honduras,6330000,0,0,0,0,0,0,HND,7186638029.05875,Latin America and the Caribbean,0.553,0.0
240,2005,Honduras,6587486,357,10010,3854,0,0,482,HND,9757012696.56212,Latin America and the Caribbean,0.0,0.0
241,2010,Honduras,7121814,397,397,0,0,0,0,HND,15839344591.9842,Latin America and the Caribbean,0.596,0.0
251,1990,El Salvador,4865340,500,1550,540,0,0,700,SLV,4817542204.0,Latin America and the Caribbean,0.519,1.0
252,1995,El Salvador,5288450,282,1656,301,0,0,741,SLV,8921947100.0,Latin America and the Caribbean,0.0,0.0
253,2000,El Salvador,5711560,565,1763,602,0,0,783,SLV,11784927700.0,Latin America and the Caribbean,0.609,0.0
254,2005,El Salvador,5803034,282,0,0,0,0,0,SLV,14698000000.0,Latin America and the Caribbean,0.0,0.0
255,2010,El Salvador,6209779,648,2027,0,0,0,0,SLV,18447920000.0,Latin America and the Caribbean,0.657,0.0
265,1990,Nicaragua,3716900,400,710,4200,0,0,1700,NIC,1009455483.87097,Latin America and the Caribbean,0.487,0.0
266,1995,Nicaragua,4307600,248,786,5017,0,0,1991,NIC,4140470000.0,Latin America and the Caribbean,0.0,0.0
267,2000,Nicaragua,4898300,497,863,5835,0,0,2283,NIC,5109587049.97449,Latin America and the Caribbean,0.563,0.0
268,2005,Nicaragua,4907725,0,1500,0,0,0,0,NIC,6321324279.14826,Latin America and the Caribbean,0.0,0.0
269,2010,Nicaragua,5242544,0,1602,0,0,0,0,NIC,8758602232.98358,Latin America and the Caribbean,0.611,0.0
279,1990,Costa Rica,2620600,3800,0,2000,80,0,0,CRI,5711687786.75989,Latin America and the Caribbean,0.659,0.0
280,1995,Costa Rica,3097950,4170,0,2171,100,0,0,CRI,11578594259.8675,Latin America and the Caribbean,0.0,0.0
281,2000,Costa Rica,3771380,4540,0,2343,121,0,0,CRI,15013629661.8969,Latin America and the Caribbean,0.709,0.0
282,2005,Costa Rica,4057108,2687,0,1135,519,0,0,CRI,20040642476.9817,Latin America and the Caribbean,0.0,0.0
283,2010,Costa Rica,3925741,3800,0,1200,558,0,0,CRI,37658616951.8038,Latin America and the Caribbean,0.769,0.0
293,1990,Panama,2292500,1133,35000,12200,2666,0,1200,PAN,6433967000.0,Latin America and the Caribbean,0.672,0.0
294,1995,Panama,2552070,3400,11666,0,0,0,0,PAN,9573813700.0,Latin America and the Caribbean,0.0,0.0
295,2000,Panama,2773500,3778,12655,2033,9138,0,0,PAN,11966497048.6488,Latin America and the Caribbean,0.722,0.0
296,2005,Panama,3161160,5000,10000,12315,450,0,0,PAN,16623906739.3121,Latin America and the Caribbean,0.0,0.0
297,2010,Panama,4166894,6590,13181,16233,593,0,0,PAN,30231009532.9507,Latin America and the Caribbean,0.775,0.0
307,1990,Colombia,30980000,8750,20000,1300,8000,0,0,COL,47844090709.9908,Latin America and the Caribbean,0.614,1.0
308,1995,Colombia,33756907,6500,0,0,0,0,0,COL,92507279383.0387,Latin America and the Caribbean,0.0,1.0
309,2000,Colombia,39996945,7500,32248,1124,6832,0,0,COL,99875074951.0278,Latin America and the Caribbean,0.672,1.0
310,2005,Colombia,41606496,7500,25700,1500,7500,0,0,COL,145600529605.803,Latin America and the Caribbean,0.0,1.0
311,2010,Colombia,44910647,8095,27740,1619,8095,0,0,COL,286498534094.963,Latin America and the Caribbean,0.732,1.0
321,1990,Venezuela (Bolivarian Republic Of),18614680,39000,620,2370,0,0,0,VEN,48606952194.7752,Latin America and the Caribbean,0.657,0.0
322,1995,Venezuela (Bolivarian Republic Of),20231080,0,0,0,0,0,0,VEN,77389487770.0883,Latin America and the Caribbean,0.0,0.0
323,2000,Venezuela (Bolivarian Republic Of),22762053,15804,26506,9845,0,0,0,VEN,117146466002.661,Latin America and the Caribbean,0.699,0.0
324,2005,Venezuela (Bolivarian Republic Of),25077176,16159,28185,11011,0,0,0,VEN,145513489651.872,Latin America and the Caribbean,0.0,0.0
325,2010,Venezuela (Bolivarian Republic Of),27392300,16515,29864,12177,0,0,0,VEN,393192354510.653,Latin America and the Caribbean,0.759,0.0
330,1990,Guyana,303900,60,57600,1500,252000,0,0,GUY,396582263.291139,Latin America and the Caribbean,0.496,0.0
331,1995,Guyana,367200,38,55800,0,232500,0,0,GUY,621626785.915493,Latin America and the Caribbean,0.0,0.0
332,2000,Guyana,430500,16,54000,750,213000,0,0,GUY,712667896.727512,Latin America and the Caribbean,0.57,0.0
333,2005,Guyana,429477,22,55781,375,219706,0,0,GUY,824880550.343965,Latin America and the Caribbean,0.0,0.0
334,2010,Guyana,427919,29,57562,0,226412,0,0,GUY,3432912516.92427,Latin America and the Caribbean,0.65,0.0
338,1990,Suriname,235351,525,65091,1400,82885,0,0,SUR,388400000.0,Latin America and the Caribbean,0.696,0.0
339,1995,Suriname,225995,0,67800,0,110430,0,0,SUR,691590497.737557,Latin America and the Caribbean,0.0,0.0
340,2000,Suriname,234934,191,69493,617,102101,0,0,SUR,947671969.69697,Latin America and the Caribbean,0.696,0.0
341,2005,Suriname,274703,276,82468,893,121100,0,405,SUR,1793410397.38738,Latin America and the Caribbean,0.0,0.0
342,2010,Suriname,271680,290,110936,0,155084,0,0,SUR,4368370997.92126,Latin America and the Caribbean,0.696,0.0
352,1990,Ecuador,9874700,1400,0,1200,0,0,0,ECU,15239272611.5809,Latin America and the Caribbean,0.645,0.0
353,1995,Ecuador,8978500,0,0,0,0,0,0,ECU,24432884442.2211,Latin America and the Caribbean,0.0,1.0
354,2000,Ecuador,11477020,1300,1200,4422,0,0,0,ECU,17539454727.3637,Latin America and the Caribbean,0.684,0.0
355,2005,Ecuador,12136581,1150,1350,5941,0,0,0,ECU,40278849000.0,Latin America and the Caribbean,0.0,0.0
356,2010,Ecuador,12830327,1000,1500,7460,0,0,0,ECU,68151329000.0,Latin America and the Caribbean,0.736,0.0
366,1990,Peru,21346550,4500,250,7000,0,0,0,PER,26410386962.8019,Latin America and the Caribbean,0.62,1.0
367,1995,Peru,23290887,3763,232,13121,0,0,0,PER,53312793687.3836,Latin America and the Caribbean,0.0,1.0
368,2000,Peru,23532720,3027,5600,8200,0,0,0,PER,51744749133.213,Latin America and the Caribbean,0.675,0.0
369,2005,Peru,26698560,3000,6200,8500,0,0,0,PER,76060606060.6061,Latin America and the Caribbean,0.0,0.0
370,2010,Peru,27579681,3000,6000,10200,0,0,0,PER,147527631520.729,Latin America and the Caribbean,0.725,0.0
380,1990,Brazil,138033011,86423,50000,236403,2666,2000,0,BRA,390725626002.866,Latin America and the Caribbean,0.62,0.0
381,1995,Brazil,151406004,87862,68293,278083,2560,2701,0,BRA,769333330411.575,Latin America and the Caribbean,0.0,0.0
382,2000,Brazil,146447175,92000,86586,319764,2455,105000,0,BRA,655448188259.351,Latin America and the Caribbean,0.668,0.0
383,2005,Brazil,157380092,99500,60876,281882,4065,130475,0,BRA,891633826625.407,Latin America and the Caribbean,0.0,0.0
384,2010,Brazil,168313010,107000,35167,244000,5675,155951,0,BRA,2208838108484.35,Latin America and the Caribbean,0.722,0.0
394,1990,Bolivia (Plurinational State Of),6272300,2600,1100,4500,0,0,0,,,Latin America and the Caribbean,0.546,0.0
395,1995,Bolivia (Plurinational State Of),7300880,0,0,0,0,0,0,,,Latin America and the Caribbean,0.0,0.0
396,2000,Bolivia (Plurinational State Of),7842641,350,1666,5329,0,0,0,,,Latin America and the Caribbean,0.625,0.0
397,2005,Bolivia (Plurinational State Of),9033088,350,1836,6827,0,0,0,,,Latin America and the Caribbean,0.0,0.0
398,2010,Bolivia (Plurinational State Of),9720100,350,1031,3836,0,0,0,,,Latin America and the Caribbean,0.661,0.0
417,1990,Paraguay,4142546,2400,0,6200,0,0,0,PRY,5812114523.01187,Latin America and the Caribbean,0.604,0.0
419,1995,Paraguay,4624128,0,0,0,0,0,0,PRY,9062131475.02318,Latin America and the Caribbean,0.0,0.0
421,2000,Paraguay,5329016,1365,1000,5524,0,0,0,PRY,8855705139.55857,Latin America and the Caribbean,0.656,0.0
423,2005,Paraguay,5367889,1500,1270,4516,0,0,0,PRY,10737500188.1123,Latin America and the Caribbean,0.0,0.0
425,2010,Paraguay,6138983,3208,3873,14783,0,0,0,PRY,27260886405.2341,Latin America and the Caribbean,0.7,0.0
436,1990,Chile,12353325,9600,2000,750,0,0,0,CHL,33428580448.2715,Latin America and the Caribbean,0.705,0.0
437,1995,Chile,13585000,0,0,0,0,0,0,CHL,73820425701.6603,Latin America and the Caribbean,0.0,0.0
438,2000,Chile,14197856,11127,1603,1812,0,0,0,CHL,78339750721.364,Latin America and the Caribbean,0.763,0.0
439,2005,Chile,14273550,20900,4000,2100,0,0,0,CHL,122294145163.192,Latin America and the Caribbean,0.0,0.0
440,2010,Chile,15587652,20664,4500,2700,0,0,0,CHL,217051209238.534,Latin America and the Caribbean,0.813,0.0
450,1990,Argentina,29470753,620873,0,0,0,0,0,ARG,141352654305.163,Latin America and the Caribbean,0.724,0.0
451,1995,Argentina,31986560,695360,0,0,0,0,0,ARG,258031750000.0,Latin America and the Caribbean,0.0,0.0
452,2000,Argentina,33280506,296256,555480,5985,1811,0,0,ARG,284203750000.0,Latin America and the Caribbean,0.78,0.0
453,2005,Argentina,32627326,425000,600000,6912,1879,0,0,ARG,198737095012.282,Latin America and the Caribbean,0.0,0.0
454,2010,Argentina,34400709,275000,611000,7236,1967,0,0,ARG,423627422092.49,Latin America and the Caribbean,0.834,0.0
464,1990,Uruguay,2262800,30500,450,60,0,0,0,URY,9298807850.29979,Latin America and the Caribbean,0.702,0.0
465,1995,Uruguay,2286480,63720,0,0,0,0,0,URY,19297663096.5506,Latin America and the Caribbean,0.0,0.0
466,2000,Uruguay,2470035,45873,167,21,0,0,0,URY,22823270892.1094,Latin America and the Caribbean,0.754,0.0
467,2005,Uruguay,2705243,9918,1000,32,0,0,0,URY,17362857683.8545,Latin America and the Caribbean,0.0,0.0
468,2010,Uruguay,2746709,10070,1015,32,0,0,0,URY,41950361211.9581,Latin America and the Caribbean,0.785,0.0
478,1990,United Kingdom,48498500,310000,1050000,120000,375000,0,11531,GBR,1093169389204.55,Europe,0.804,1.0
479,1995,United Kingdom,48904250,295603,1459221,153245,471355,0,13413,GBR,1349094208616.06,Europe,0.0,0.0
480,2000,United Kingdom,42458524,281207,1828442,186491,567710,0,15296,GBR,1671597821152.97,Europe,0.863,0.0
481,2005,United Kingdom,40989298,272103,2264221,217659,692355,0,19720,GBR,2551361818181.82,Europe,0.0,0.0
482,2010,United Kingdom,38957273,263000,2700000,248827,817000,0,24144,GBR,2496740681057.14,Europe,0.913,0.0
492,1990,Ireland,3335763,1581,7500,0,0,0,0,IRL,49305632408.4929,Europe,0.743,0.0
493,1995,Ireland,3486468,1750,15081,726,2360,0,0,IRL,69139823232.3232,Europe,0.0,0.0
494,2000,Ireland,3529605,1865,19163,466,3767,0,0,IRL,100207610429.909,Europe,0.851,0.0
495,2005,Ireland,3855152,2065,27678,521,4214,0,0,IRL,211876989655.907,Europe,0.0,0.0
496,2010,Ireland,4150307,1984,25700,781,0,0,0,IRL,221732824603.484,Europe,0.908,0.0
511,1990,Netherlands,11346000,26000,533000,48000,80000,0,0,NLD,318799003993.707,Europe,0.847,0.0
513,1995,Netherlands,11215247,25471,626500,102930,84674,0,0,NLD,452967334614.329,Europe,0.0,0.0
515,2000,Netherlands,10625781,24942,780000,157860,95000,0,0,NLD,417649282153.726,Europe,0.892,0.0
517,2005,Netherlands,10570926,25786,897600,194208,105264,0,0,NLD,688133699635.797,Europe,0.0,0.0
519,2010,Netherlands,9626041,25700,963526,201012,107151,0,0,NLD,852464982433.335,Europe,0.917,0.0
539,1990,Belgium,8495449,32100,315000,20000,0,0,0,BEL,205331747947.851,Europe,0.814,0.0
