,year,country,Christianity,Judaism,Islam,Buddhism,Hindu,Shinto,Confus_Tao,code,gdp,un_region,hdi,conflict_present
541,1995,Belgium,8222233,32000,403904,21939,0,0,0,BEL,288025588396.278,Europe,0.0,0.0
543,2000,Belgium,7909604,40000,350000,20000,0,0,0,BEL,236792460312.471,Europe,0.884,0.0
545,2005,Belgium,8139550,50000,400000,10000,6500,0,0,BEL,385714762230.039,Europe,0.0,0.0
547,2010,Belgium,7526165,30000,543818,32629,7500,0,0,BEL,481556503720.001,Europe,0.913,0.0
567,1990,Luxembourg,352790,700,3900,0,0,0,0,LUX,12778792853.6939,Europe,0.793,0.0
569,1995,Luxembourg,376823,699,5850,0,0,0,0,LUX,20853093869.7318,Europe,0.0,0.0
571,2000,Luxembourg,404690,600,6000,0,0,0,0,LUX,21230182989.3036,Europe,0.864,0.0
573,2005,Luxembourg,436200,650,9000,0,0,0,0,LUX,37672280120.4794,Europe,0.0,0.0
575,2010,Luxembourg,460637,600,10139,0,0,0,0,LUX,56213985987.4168,Europe,0.912,0.0
595,1990,France,44618413,575000,1810000,307948,40000,0,0,FRA,1257649439826.53,Europe,0.79,0.0
597,1995,France,43939194,581390,2677400,378182,42302,0,0,FRA,1595219345511.89,Europe,0.0,0.0
599,2000,France,42875006,620000,4450000,594540,0,0,0,FRA,1360959069477.49,Europe,0.844,0.0
601,2005,France,42399613,600000,5500000,609960,0,0,0,FRA,2192146403028.17,Europe,0.0,0.0
603,2010,France,44023361,480000,4950000,650755,51000,0,0,FRA,2646230027988.34,Europe,0.88,0.0
605,1995,Monaco,29105,539,136,0,0,0,0,MCO,3130309995.30848,Europe,0.0,0.0
606,2000,Monaco,28250,500,1197,0,0,0,0,MCO,2654462665.26893,Europe,0.8035476190476191,0.0
607,2005,Monaco,27399,500,730,0,0,0,0,MCO,4204652898.73103,Europe,0.0,0.0
608,2010,Monaco,26550,500,264,0,0,0,0,MCO,5367561569.59548,Europe,0.8553333333333333,0.0
609,1990,Liechtenstein,27120,40,600,0,0,0,0,LIE,1421509216.37424,Europe,0.871,0.0
610,1995,Liechtenstein,28428,41,1319,0,0,0,0,LIE,2428525060.69927,Europe,0.0,0.0
611,2000,Liechtenstein,29285,26,1593,66,0,0,0,LIE,2483889858.32312,Europe,0.871,0.0
612,2005,Liechtenstein,30158,33,1776,0,0,0,0,LIE,3659319116.88057,Europe,0.0,0.0
613,2010,Liechtenstein,31031,40,1960,148,0,0,0,LIE,5082337238.44718,Europe,0.916,0.0
623,1990,Switzerland,6064100,17600,152200,1030,1800,0,0,CHE,265763573999.424,Europe,0.85,0.0
624,1995,Switzerland,6091621,17750,231500,10480,12311,0,0,CHE,352835806342.495,Europe,0.0,0.0
625,2000,Switzerland,6119143,17900,310800,19931,22823,0,0,CHE,279216033870.204,Europe,0.885,0.0
626,2005,Switzerland,6408536,17923,312354,24170,23129,0,0,CHE,418284865884.998,Europe,0.0,0.0
627,2010,Switzerland,6303993,17500,322000,25431,24336,0,0,CHE,598851028906.58,Europe,0.94,0.0
637,1990,Spain,37464150,12800,170000,16500,0,0,0,ESP,536175326477.31,Europe,0.762,0.0
638,1995,Spain,37249500,29583,300000,13838,0,0,0,ESP,614170002668.802,Europe,0.0,0.0
639,2000,Spain,34100000,52000,450000,12000,0,0,0,ESP,598102854756.08,Europe,0.828,0.0
640,2005,Spain,36380000,35000,1100000,9000,0,0,0,ESP,1154667551775.88,Europe,0.0,0.0
641,2010,Spain,37121529,12000,1400000,10200,0,0,0,ESP,1427989078916.67,Europe,0.868,0.0
642,1995,Andorra,62680,257,448,0,207,0,0,AND,1178745282.8678,Europe,0.0,0.0
643,2000,Andorra,72946,0,500,0,0,0,0,AND,1432606296.26722,Europe,0.815,0.0
644,2005,Andorra,74445,0,400,0,0,0,0,AND,3161084846.97686,Europe,0.0,0.0
645,2010,Andorra,77546,0,769,0,300,0,0,AND,3449925693.58181,Europe,0.863,0.0
655,1990,Portugal,9344537,500,20000,50000,0,0,0,PRT,78713860216.5659,Europe,0.703,0.0
656,1995,Portugal,9263964,467,28910,52650,0,0,0,PRT,118122007430.012,Europe,0.0,0.0
657,2000,Portugal,8437963,1773,35000,55300,7000,0,0,PRT,118605192877.388,Europe,0.793,0.0
658,2005,Portugal,8780641,2482,62993,57449,6693,0,0,PRT,197253876704.921,Europe,0.0,0.0
659,2010,Portugal,9123319,3192,90987,59598,6386,0,0,PRT,238443864993.217,Europe,0.831,0.0
662,1990,Germany,62557600,47000,2850000,75000,45000,0,0,DEU,1778162195860.07,Europe,0.828,0.0
664,1995,Germany,60917960,135319,3258506,79843,68954,0,0,DEU,2593053091306.13,Europe,0.0,0.0
666,2000,Germany,56327135,187500,3000000,80000,62500,0,0,DEU,1966980701145.1,Europe,0.89,0.0
668,2005,Germany,54399203,189000,3500000,82000,70000,0,0,DEU,2893393187361.87,Europe,0.0,0.0
670,2010,Germany,57827992,119000,4000000,245000,97500,0,0,DEU,3467093769666.67,Europe,0.929,0.0
679,1990,Germany,57550000,15580,1490000,0,0,0,0,DEU,1778162195860.07,Europe,0.828,0.0
705,1990,Poland,37050000,4940,4500,900,0,0,0,POL,65977748210.5263,Europe,0.715,0.0
707,1995,Poland,37293803,1410,5303,1458,0,0,0,POL,142838527115.448,Europe,0.0,0.0
709,2000,Poland,36631210,1400,2500,0,0,0,0,POL,172953527033.013,Europe,0.794,0.0
711,2005,Poland,35958000,1400,2700,1984,0,0,0,POL,306999913150.525,Europe,0.0,0.0
713,2010,Poland,34539629,1600,5100,1500,0,0,0,POL,478111630683.514,Europe,0.845,0.0
729,1990,Austria,6433500,7205,157415,0,0,0,0,AUT,165811372382.912,Europe,0.823,0.0
731,1995,Austria,6996880,8687,242116,5717,4198,0,0,AUT,240094169510.031,Europe,0.0,0.0
733,2000,Austria,6445987,8320,346502,0,0,0,0,AUT,196181599831.287,Europe,0.87,0.0
735,2005,Austria,6285258,8309,372536,0,0,0,0,AUT,313952317330.776,Europe,0.0,0.0
737,2010,Austria,6124531,8298,398571,0,0,0,0,AUT,389827789217.634,Europe,0.903,0.0
748,1990,Hungary,8053776,100000,16458,1000,0,0,0,HUN,34478360678.756,Europe,0.721,0.0
749,1995,Hungary,7811791,56435,20072,2206,0,0,0,HUN,46577614588.9926,Europe,0.0,0.0
750,2000,Hungary,7462967,12666,3150,5139,0,0,0,HUN,47275954428.9586,Europe,0.773,0.0
751,2005,Hungary,7066031,11815,3825,2569,0,0,0,HUN,113098237570.929,Europe,0.0,0.0
752,2010,Hungary,6669095,10965,4500,0,0,0,0,HUN,131898737241.166,Europe,0.829,0.0
771,1990,Slovakia,11078173,0,0,0,0,0,0,SVK,12915046978.1615,Europe,0.761,0.0
773,1995,Czechia,3076314,7210,1050,10746,0,0,0,CZE,60572381311.2283,Europe,0.0,0.0
774,2000,Czechia,3098330,3900,3699,6826,1062,0,0,CZE,62175642238.0847,Europe,0.81,0.0
775,2005,Czechia,2675520,5611,2518,3413,531,0,0,CZE,137264185596.1,Europe,0.0,0.0
776,2010,Czechia,2252712,7322,1338,0,0,0,0,CZE,211168667286.27,Europe,0.872,0.0
777,1995,Slovakia,3899119,927,0,0,0,0,0,SVK,26180022222.2222,Europe,0.0,0.0
778,2000,Slovakia,4519352,2424,517,0,0,0,0,SVK,29215726004.7765,Europe,0.761,0.0
779,2005,Slovakia,4307433,2377,514,0,0,0,0,SVK,62547753148.4638,Europe,0.0,0.0
780,2010,Slovakia,4101842,2445,521,0,0,0,0,SVK,91112160800.7668,Europe,0.841,0.0
790,1990,Italy,48669553,38359,600000,4100,0,0,0,ITA,1183945130898.51,Europe,0.78,0.0
791,1995,Italy,47718067,38088,640000,6233,0,0,0,ITA,1177369428265.78,Europe,0.0,0.0
792,2000,Italy,48955835,30200,950063,60338,0,0,0,ITA,1149661363439.38,Europe,0.842,0.0
793,2005,Italy,50346000,30000,1000000,60000,75000,0,0,ITA,1864982261286.85,Europe,0.0,0.0
794,2010,Italy,48018881,39000,700000,8831,7923,0,0,ITA,2144936254535.0,Europe,0.88,0.0
795,1995,San Marino,22799,0,5,0,0,0,0,SMR,0.0,Europe,0.0,0.0
796,2000,San Marino,25650,0,5,0,0,0,0,SMR,1007661366.66959,Europe,0.875,0.0
797,2005,San Marino,29450,0,6,0,0,0,0,SMR,1786514058.22344,Europe,0.0,0.0
798,2010,San Marino,28088,0,6,0,0,0,0,SMR,1881191925.32503,Europe,0.901,0.0
804,1990,Malta,350140,50,1250,0,40,0,0,MLT,2547328747.50761,Europe,0.726,0.0
805,1995,Malta,365041,53,1093,0,40,0,0,MLT,3709396044.85885,Europe,0.0,0.0
806,2000,Malta,371280,97,728,9,0,0,0,MLT,4036809815.46617,Europe,0.779,0.0
807,2005,Malta,387285,58,2838,810,42,0,0,MLT,6393234992.55141,Europe,0.0,0.0
808,2010,Malta,401633,60,4122,0,0,0,0,MLT,9097044159.26912,Europe,0.862,0.0
827,1990,Albania,976398,305,1367520,0,0,0,0,ALB,2028553750.0,Europe,0.649,0.0
829,1995,Albania,1049187,302,1948860,0,0,0,0,ALB,2905092798.61916,Europe,0.0,0.0
831,2000,Albania,715990,300,2051467,0,0,0,0,ALB,3584570164.85195,Europe,0.678,0.0
833,2005,Albania,837479,299,1931812,0,0,0,0,ALB,8256658249.8128,Europe,0.0,0.0
835,2010,Albania,685221,0,2013180,0,0,0,0,ALB,12086545641.299,Europe,0.766,0.0
837,2010,Montenegro,478002,0,120289,119,0,0,0,MNE,4136936189.28052,Europe,0.806,0.0
838,1995,The Former Yugoslav Republic Of Macedonia,1216107,956,658375,0,0,0,0,MKD,4707041315.24202,Europe,0.0,0.0
839,2000,The Former Yugoslav Republic Of Macedonia,1318658,0,674499,0,0,0,0,MKD,3772859034.20508,Europe,0.676,0.0
840,2005,The Former Yugoslav Republic Of Macedonia,1314733,0,688931,0,0,0,0,MKD,6258602872.67898,Europe,0.0,0.0
841,2010,The Former Yugoslav Republic Of Macedonia,1310808,0,703363,0,0,0,0,MKD,9407170321.37752,Europe,0.746,0.0
842,1995,Croatia,4188925,810,85130,0,0,0,0,HRV,22772394546.6058,Europe,0.0,1.0
843,2000,Croatia,4154923,498,57231,0,0,0,0,HRV,22134411297.473,Europe,0.764,0.0
844,2005,Croatia,4098533,526,61127,0,0,0,0,HRV,45013119281.806,Europe,0.0,0.0
845,2010,Croatia,4042145,553,65023,0,0,0,0,HRV,58975205417.3439,Europe,0.824,0.0
864,1990,Serbia,17356386,5576,2837717,0,0,0,0,SRB,0.0,Europe,0.689,0.0
866,1995,Serbia,7885123,4852,2003930,0,0,0,0,SRB,17921892655.3672,Europe,0.0,0.0
868,2000,Serbia,9757747,1113,340084,0,0,0,0,SRB,7326373882.11044,Europe,0.689,0.0
870,2005,Serbia,7134892,814,248670,0,0,0,0,SRB,28334256180.8801,Europe,0.0,0.0
872,2010,Serbia,6652741,586,226117,0,0,0,0,SRB,43536629233.1424,Europe,0.768,0.0
874,1995,Bosnia And Herzegovina,2286840,423,1810051,0,0,0,0,BIH,1866572953.73665,Europe,0.0,1.0
875,2000,Bosnia And Herzegovina,1986000,1037,1588800,0,0,0,0,BIH,5567772768.81188,Europe,0.656,0.0
876,2005,Bosnia And Herzegovina,1987185,1028,1654753,0,0,0,0,BIH,11222796336.5426,Europe,0.0,0.0
877,2010,Bosnia And Herzegovina,1988372,1019,1720707,0,0,0,0,BIH,17176315803.7298,Europe,0.718,0.0
878,1995,Slovenia,1780836,330,47700,0,0,0,0,SVN,21367422159.3207,Europe,0.0,0.0
879,2000,Slovenia,1580712,100,48019,0,0,0,0,SVN,20159190701.6789,Europe,0.823,0.0
880,2005,Slovenia,1478349,152,54815,0,0,0,0,SVN,35947936823.7781,Europe,0.0,0.0
881,2010,Slovenia,1375987,205,61611,0,0,0,0,SVN,47793117240.9001,Europe,0.89,0.0
900,1990,Greece,9754560,6600,202500,0,0,0,0,GRC,96529587274.2906,Europe,0.762,0.0
902,1995,Greece,10021758,6009,235000,0,0,0,0,GRC,134974613913.811,Europe,0.0,0.0
904,2000,Greece,10176670,4860,220000,0,0,0,0,GRC,125760166224.805,Europe,0.818,0.0
906,2005,Greece,10580420,5500,240000,0,0,0,0,GRC,242315668619.405,Europe,0.0,0.0
908,2010,Greece,10682948,5648,272000,0,0,0,0,GRC,296417644404.034,Europe,0.874,0.0
916,1990,Cyprus,505680,150,129390,0,0,0,0,CYP,5591130217.66965,Asia,0.733,0.0
917,1995,Cyprus,519135,145,155523,0,0,0,0,CYP,9933137128.07244,Asia,0.0,0.0
918,2000,Cyprus,559042,141,175000,0,0,0,0,CYP,9985847313.85485,Asia,0.797,0.0
919,2005,Cyprus,576604,144,169999,0,0,0,0,CYP,18433412510.8817,Asia,0.0,0.0
920,2010,Cyprus,606674,147,164999,0,0,0,0,CYP,25799940077.6075,Asia,0.859,0.0
930,1990,Bulgaria,6884000,4200,1110295,0,0,0,0,BGR,20632090909.0909,Europe,0.698,0.0
931,1995,Bulgaria,6629941,4053,1092780,0,0,0,0,BGR,18991484420.36,Europe,0.0,0.0
932,2000,Bulgaria,6876100,3907,999156,0,0,0,0,BGR,13245990274.4581,Europe,0.723,0.0
933,2005,Bulgaria,6403059,2953,985578,0,0,0,0,BGR,29868657858.0082,Europe,0.0,0.0
934,2010,Bulgaria,6206119,2000,972000,0,0,0,0,BGR,50689051382.4361,Europe,0.79,0.0
935,1995,Republic Of Moldova,4122440,50299,31819,0,0,0,0,MDA,1752999370.46158,Europe,0.0,0.0
936,2000,Republic Of Moldova,4125000,65700,0,0,0,0,0,MDA,1288429391.79951,Europe,0.655,0.0
937,2005,Republic Of Moldova,3318141,7500,64119,0,0,0,0,MDA,2988342907.03096,Europe,0.0,0.0
938,2010,Republic Of Moldova,2925500,3900,128238,0,0,0,0,MDA,6974982369.60155,Europe,0.716,0.0
948,1990,Romania,21180551,9670,45928,0,0,0,0,ROU,38247882300.4904,Europe,0.709,0.0
949,1995,Romania,21446333,8217,61592,0,0,0,0,ROU,37430162102.6125,Europe,0.0,0.0
950,2000,Romania,21984877,7500,67257,0,0,0,0,ROU,37253739511.1273,Europe,0.721,0.0
951,2005,Romania,21407729,8500,76128,0,0,0,0,ROU,98454380120.0761,Europe,0.0,0.0
952,2010,Romania,20899522,9500,85000,0,0,0,0,ROU,170064350671.827,Europe,0.813,0.0
962,1990,Russian Federation,68566005,2854190,28541901,550000,0,0,0,RUS,517014446227.929,Europe,0.741,1.0
963,1995,Russian Federation,32225158,897498,14777400,552705,0,0,0,RUS,395537185734.854,Europe,0.0,1.0
964,2000,Russian Federation,105985210,622175,20570760,1796711,0,0,0,RUS,259710142196.943,Europe,0.733,1.0
965,2005,Russian Federation,103229800,606000,20035960,1750000,0,0,0,RUS,764015973481.11,Europe,0.0,1.0
966,2010,Russian Federation,105697556,194000,16482000,0,0,0,0,RUS,1524916715223.95,Europe,0.797,1.0
967,1995,Estonia,647267,1622,3982,487,487,0,0,EST,4502970889.06373,Europe,0.0,0.0
969,2000,Estonia,401015,3200,1726,774,190,0,36,EST,5686579747.53524,Europe,0.798,0.0
971,2005,Estonia,390579,2450,1863,1087,275,0,106,EST,14109491356.7964,Europe,0.0,0.0
973,2010,Estonia,380141,1700,2000,1401,361,0,176,EST,19524355419.038,Europe,0.864,0.0
975,1995,Latvia,1359175,10389,6108,121,723,0,0,LVA,5608208784.9401,Europe,0.0,0.0
977,2000,Latvia,1285590,6005,300,100,500,0,0,LVA,7761252607.18424,Europe,0.761,0.0
979,2005,Latvia,1324373,6100,380,87,127,0,0,LVA,16306935905.4138,Europe,0.0,0.0
981,2010,Latvia,1772369,6000,320,167,205,0,0,LVA,23468324572.3343,Europe,0.827,0.0
983,1995,Lithuania,3172884,5681,7614,788,631,0,0,LTU,7921210339.58439,Europe,0.0,0.0
985,2000,Lithuania,3115606,5500,3012,429,279,0,0,LTU,11550695727.2335,Europe,0.769,0.0
987,2005,Lithuania,2935356,5750,2869,214,139,0,0,LTU,26105207115.3129,Europe,0.0,0.0
989,2010,Lithuania,2755107,6000,2727,0,0,0,0,LTU,36638128534.0643,Europe,0.846,0.0
991,1995,Ukraine,39860991,242562,995335,19335,4969,0,0,UKR,48213856468.5718,Europe,0.0,0.0
992,2000,Ukraine,41626200,151368,353192,50456,0,0,0,UKR,32375083934.8241,Europe,0.698,0.0
993,2005,Ukraine,39703750,143162,393000,0,0,0,0,UKR,89238865118.5263,Europe,0.0,0.0
994,2010,Ukraine,39196664,67000,456000,46005,0,0,0,UKR,141209170427.233,Europe,0.766,0.0
995,1995,Belarus,7159892,29500,15000,1329,0,0,0,BLR,13972683273.5692,Europe,0.0,0.0
996,2000,Belarus,5989515,27350,16000,664,0,0,0,BLR,12736856827.9847,Europe,0.708,0.0
997,2005,Belarus,4892500,25200,17000,0,0,0,0,BLR,30210091836.8294,Europe,0.0,0.0
998,2010,Belarus,5394257,12000,19000,0,0,0,0,BLR,57231904542.8755,Europe,0.79,0.0
999,1995,Armenia,3288527,706,8316,210,0,0,0,ARM,1468317435.20148,Asia,0.0,0.0
1000,2000,Armenia,3416610,821,750,0,0,0,0,ARM,1911563668.85006,Asia,0.656,0.0
1001,2005,Armenia,3054651,599,850,0,0,0,0,ARM,4900469511.10191,Asia,0.0,0.0
1002,2010,Armenia,3086654,565,1000,0,0,0,0,ARM,9260285755.62424,Asia,0.739,0.0
1003,1995,Georgia,4581948,19753,595870,0,0,0,0,GEO,2693732611.81599,Asia,0.0,0.0
1004,2000,Georgia,4406616,13750,458374,0,0,0,0,GEO,3057475335.18846,Asia,0.694,0.0
1005,2005,Georgia,3851060,12875,434000,0,0,0,0,GEO,6410912049.87105,Asia,0.0,0.0
1006,2010,Georgia,3553010,12000,440787,0,0,0,0,GEO,12426907967.1578,Asia,0.763,0.0
1007,1995,Azerbaijan,291437,22951,6738299,0,0,0,0,AZE,2417331192.9526,Asia,0.0,1.0
1008,2000,Azerbaijan,236459,12500,6960600,0,0,0,0,AZE,5272615722.96892,Asia,0.635,0.0
1009,2005,Azerbaijan,228500,10000,8056320,0,0,0,0,AZE,13245421880.834,Asia,0.0,1.0
1010,2010,Azerbaijan,218200,8000,8595234,0,0,0,0,AZE,52909294791.9262,Asia,0.733,0.0
1020,1990,Finland,4437525,1250,7800,2000,0,0,0,FIN,141446120354.533,Europe,0.811,0.0
1021,1995,Finland,4444851,1241,12181,2677,0,0,0,FIN,134060457516.34,Europe,0.0,0.0
1022,2000,Finland,4468908,1232,16563,3354,0,0,0,FIN,125967821110.589,Europe,0.887,0.0
1023,2005,Finland,4422378,1249,23712,4879,0,0,0,FIN,204859368790.661,Europe,0.0,0.0
1024,2010,Finland,4258941,1277,24245,4988,0,0,0,FIN,249429613683.334,Europe,0.912,0.0
1034,1990,Sweden,7833833,15500,137000,24573,0,0,0,SWE,261466577008.853,Europe,0.808,0.0
1035,1995,Sweden,7933826,15813,205268,30641,0,0,0,SWE,267050453506.792,Europe,0.0,0.0
1036,2000,Sweden,7734793,20031,350550,3505,3505,0,0,SWE,262903560280.282,Europe,0.903,0.0
1037,2005,Sweden,7630100,19250,350000,15000,8500,0,0,SWE,391688455928.597,Europe,0.0,0.0
1038,2010,Sweden,7133814,19781,562741,0,0,0,0,SWE,492750897239.447,Europe,0.91,0.0
1057,1990,Norway,3819633,820,13919,27809,0,0,0,NOR,119791843059.572,Europe,0.845,0.0
1059,1995,Norway,3962924,821,18778,34737,0,0,0,NOR,152029612324.788,Europe,0.0,0.0
1061,2000,Norway,3956900,1200,62000,40000,0,0,0,NOR,171457201935.968,Europe,0.914,0.0
1063,2005,Norway,4168814,1300,76621,9505,3782,0,0,NOR,309978579743.888,Europe,0.0,0.0
1065,2010,Norway,4103723,823,99500,13450,5203,0,0,NOR,431052143940.438,Europe,0.938,0.0
1085,1990,Denmark,4777340,6700,55000,11272,3400,0,0,DNK,138217740684.484,Europe,0.839,0.0
1087,1995,Denmark,4703433,6737,108747,13840,5564,0,0,DNK,184848481008.139,Europe,0.0,0.0
1089,2000,Denmark,4551334,6159,174507,3941,0,0,0,DNK,164043817223.59,Europe,0.89,0.0
1091,2005,Denmark,4544945,7000,200000,4423,0,0,0,DNK,265150087711.985,Europe,0.0,0.0
1093,2010,Denmark,4527237,2153,222000,4487,206,0,0,DNK,322345594075.47,Europe,0.913,0.0
1104,1990,Iceland,246069,0,50,0,150,0,0,ISL,6694851159.32729,Europe,0.834,0.0
1105,1995,Iceland,257027,0,221,0,440,0,0,ISL,7372640168.67697,Europe,0.0,0.0
1106,2000,Iceland,268427,0,135,455,0,0,0,ISL,9140168922.35677,Europe,0.895,0.0
1107,2005,Iceland,277615,0,321,597,0,0,0,ISL,17146410560.5279,Europe,0.0,0.0
1108,2010,Iceland,290063,0,1589,1087,0,0,0,ISL,13922711576.5124,Europe,0.927,0.0
1112,1990,Cabo Verde,327320,0,7600,0,0,0,0,CPV,306890962.649533,Africa,0.59,0.0
1113,1995,Cabo Verde,368620,52,9828,0,0,0,0,CPV,487148993.533109,Africa,0.0,0.0
1114,2000,Cabo Verde,406199,55,11856,0,0,0,0,CPV,539227277.626411,Africa,0.59,0.0
1115,2005,Cabo Verde,438406,0,11400,0,0,0,0,CPV,972241676.907662,Africa,0.0,0.0
1116,2010,Cabo Verde,450220,0,15200,0,0,0,0,CPV,1824751467.92957,Africa,0.649,0.0
1120,1990,Sao Tome And Principe,110000,0,50,0,0,0,0,STP,119297932.757045,Africa,0.48,0.0
1121,1995,Sao Tome And Principe,116795,0,54,0,0,0,0,STP,103695236.781001,Africa,0.0,0.0
1122,2000,Sao Tome And Principe,129632,0,58,0,0,0,0,STP,76198394.8202671,Africa,0.498,0.0
1123,2005,Sao Tome And Principe,139070,0,1250,0,0,0,0,STP,136450662.390592,Africa,0.0,0.0
1124,2010,Sao Tome And Principe,153810,0,2443,0,0,0,0,STP,190021192.489536,Africa,0.553,0.0
1128,1990,Guinea-Bissau,115320,0,318120,0,0,0,0,GNB,634187269.235013,Africa,0.441,0.0
1129,1995,Guinea-Bissau,142554,0,374150,0,0,0,0,GNB,660195402.013602,Africa,0.0,0.0
1130,2000,Guinea-Bissau,145500,0,505200,0,0,0,0,GNB,391345597.488269,Africa,0.441,0.0
1131,2005,Guinea-Bissau,158866,0,556919,0,0,0,0,GNB,639776040.688424,Africa,0.0,0.0
1132,2010,Guinea-Bissau,160848,0,589777,0,0,0,0,GNB,940112538.936436,Africa,0.441,0.0
1137,1990,Equatorial Guinea,318600,0,6960,0,150,0,0,GNQ,112119411.489965,Africa,0.511,0.0
1138,1995,Equatorial Guinea,339545,0,11653,0,188,0,0,GNQ,141853360.867855,Africa,0.0,0.0
1139,2000,Equatorial Guinea,394530,0,18700,0,227,0,0,GNQ,1045998496.43872,Africa,0.511,0.0
1140,2005,Equatorial Guinea,526785,0,24665,0,305,0,0,GNQ,8217369092.65224,Africa,0.0,0.0
1141,2010,Equatorial Guinea,622914,0,27500,0,349,0,0,GNQ,16314443436.2903,Africa,0.609,0.0
1147,1990,Gambia,37260,0,790760,0,140,0,0,GMB,317083695.477797,Africa,0.323,0.0
1148,1995,Gambia,44806,0,990900,0,175,0,0,GMB,785999864.840299,Africa,0.0,0.0
1149,2000,Gambia,39687,0,1174500,0,211,0,0,GMB,782913871.80966,Africa,0.392,0.0
1150,2005,Gambia,45673,0,1299360,0,236,0,0,GMB,1027701067.55688,Africa,0.0,0.0
1151,2010,Gambia,74920,0,1548362,0,279,0,0,GMB,1543294926.87301,Africa,0.449,0.0
1158,1990,Mali,156000,0,7163200,0,0,0,0,MLI,3248417790.51435,Africa,0.236,1.0
1159,1995,Mali,222939,0,9557550,0,0,0,0,MLI,3373322735.39126,Africa,0.0,0.0
1160,2000,Mali,368900,0,10080350,0,0,0,0,MLI,3521570875.90793,Africa,0.315,0.0
1161,2005,Mali,325211,0,10607200,0,0,0,0,MLI,7429066951.48251,Africa,0.0,0.0
1162,2010,Mali,407068,0,12754822,0,0,0,0,MLI,12710739159.4045,Africa,0.406,0.0
1169,1990,Senegal,400000,0,6407000,830,0,0,0,SEN,7390967360.42121,Africa,0.371,1.0
1170,1995,Senegal,411998,0,7328829,1015,0,0,0,SEN,6326342633.4034,Africa,0.0,1.0
1171,2000,Senegal,377758,0,8852140,1242,0,0,0,SEN,6013185003.97525,Africa,0.388,1.0
1172,2005,Senegal,433919,0,10159120,1300,0,0,0,SEN,11009033437.939,Africa,0.0,0.0
1173,2010,Senegal,421345,0,11346069,1631,0,0,0,SEN,16121315909.0758,Africa,0.47,0.0
1180,1990,Benin,1306920,0,870000,0,0,0,0,BEN,1959965330.14765,Africa,0.35,0.0
1181,1995,Benin,1837275,0,1190640,0,0,0,0,BEN,2169627137.9207,Africa,0.0,0.0
1182,2000,Benin,2635093,0,1505807,0,0,0,0,BEN,3519991440.47913,Africa,0.412,0.0
1183,2005,Benin,3161071,0,1692233,0,6198,0,0,BEN,6567654954.38903,Africa,0.0,0.0
1184,2010,Benin,3514394,0,2325715,0,0,0,0,BEN,9535345015.78355,Africa,0.481,0.0
1191,1990,Mauritania,8930,0,1972970,0,0,0,0,MRT,1506914407.82047,Africa,0.397,0.0
1192,1995,Mauritania,8088,0,2261160,0,0,0,0,MRT,2091726101.43014,Africa,0.0,0.0
1193,2000,Mauritania,7248,0,2597000,0,0,0,0,MRT,1779520886.47015,Africa,0.461,0.0
1194,2005,Mauritania,7489,0,2789760,0,0,0,0,MRT,2936019525.60241,Africa,0.0,0.0
1195,2010,Mauritania,8718,0,3212166,0,0,0,0,MRT,5628878797.98257,Africa,0.508,0.0
1202,1990,Niger,65400,0,6970000,0,0,0,0,NER,3512356507.88599,Africa,0.212,0.0
1203,1995,Niger,52829,0,8450430,0,0,0,0,NER,2302537562.24406,Africa,0.0,0.0
1204,2000,Niger,379700,0,9817950,0,0,0,0,NER,2241753192.81158,Africa,0.26,0.0
1205,2005,Niger,446864,0,11590000,0,0,0,0,NER,4383315964.58718,Africa,0.0,0.0
